rid,outage_name,matched_cec_plant,pmax,cec_cap
TUMBWD_2_WISBT4,Willow Springs Solar 4,Willow Springs Solar,74.97,108.0
PROXSR_2_PROSR1,Proxima Solar,Proxima Solar BESS,120.0,162.0
MTWIND_1_MVPWD1,Mountain View Power Project I Repower,Mountain View Repower,66.6,66.6
SCARLT_2_SS2SR1,Scarlet Solar 2 PV,Scarlet Solar II,200.0,200.0
HENRTA_6_ELCTG1,ELECTROLYTE UNIT 1,Electrolyte,50.0,109.58
SLATE_2_SLASR4,SLATE_4,Slate,63.0,140.3
CHARMN_2_PGONG1,PROCTER  AND  GAMBLE OXNARD I,Procter & Gamble - Oxnard,19.87,1.0
SCARLT_2_SSBBT1,Scarlet Solar CA 1B,Scarlet Solar CA,30.0,40.0
GILRPP_1_PL3X4,"GILROY ENERGY CENTER, UNIT #3",Gilroy Cogen Plant,46.2,123.4
RDWAY_1_SCKSR1,Sheep Creek,Sheep Creek (CAISO),3.0,3.0
PIT1_7_UNIT 1,PIT PH 1 UNIT 1,Pit #1,32.0,63.0
RTEDDY_2_RWSBT2,Rosamond West Solar Central BESS A2,Rosamond West Solar Central BESS,30.0,147.0
SISPRG_2_DS3BT3,Daggett Solar 3 cd BESS,Daggett Solar 1 BESS,12.5,113.5
DRACKR_2_D4SR4B,Dracker Solar Unit 4B,Dracker Solar Unit 1 BESS,62.5,63.0
ROMOLA_5_MPBBT3,Menifee Power Bank 3,Menifee Power Bank,50.0,680.0
FORBST_7_UNIT 1,FORBESTOWN HYDRO,Forbestown,37.5,39.7
STOILS_1_UNITS,Chevron Richmond Refinery,Chevron Richmond Refinery Cogeneration,56.2,183.53
MRLSDS_6_SOLAR1,Morelos Solar,Morelos Solar Facility,15.0,15.0
SISPRG_2_DS3SR1,Daggett Solar 3 a PV,Daggett 2 a BESS,123.0,131.0
WAUKNA_1_SOLAR2,Corcoran 2,Corcoran 3 Solar,19.75,20.0
ELSEGN_2_UN1011,El Segundo Energy Center 5/6,El Segundo Energy Center,274.31,526.0
CMBLND_2_DS2SR3,Daggett 2 c PV,Daggett Solar 1 BESS,52.0,113.5
DIABLO_7_UNIT 2,Diablo Canyon Unit 2,Diablo Canyon,1150.0,2323.0
LTBEAR_1_LB4SR5,Little Bear 4 Solar 5,Little Bear Solar 4,50.0,50.0
SMRCOS_6_LNDFIL,San Marcos Energy,San Marcos,1.5,1.8
GRDISL_1_RVSSR1,Rio Vista Solar,Rio Vista Solar (CAISO),2.73,2.73
CALFTS_2_CFSSR1,California Flats Solar South,California Flats North,150.0,130.0
