rid,outage_name,matched_cec_plant,pmax,cec_cap
DSFLWR_2_W9CSB1,Willy 9 Chap 1,Willy 9 Chap,102.0,88.0
SPBURN_7_SNOWMT,Burney Creek Hydro,Burney Creek,3.0,3.0
SLATE_2_SLASR3,SLATE_3,Slate,67.5,140.3
LASSEN_6_UNITS,Honey Lake Power,HL Power Company (Honey Lake),30.0,35.5
HAASPH_7_PL1X2,HAAS PH UNIT 1 & 2 AGGREGATE,Haas,144.0,144.0
PLACVL_1_RCKCRE,Rock Creek Hydro,Rock Creek L.P.,5.0,3.6
CORCAN_1_SOLAR2,Corcoran City,Corcoran 3 Solar,11.0,20.0
PRIMM_2_SOLAR1,Silver State South,Silver State Power South (NV),250.0,250.0
KINGCO_1_KINGBR,Kingsburg Cogen,Kingsburg Cogeneration,34.5,34.5
VOYAGR_2_VOYWD4,Voyager Wind 4,"Voyager Wind IV, LLC",21.01,21.6
YELPIN_2_YP2SR2,Yellow Pine 2 A PV,Yellow Pine Solar II LLC (NV),60.0,65.0
MIRLOM_2_MLBBTB,Mira Loma BESS B,Mira Loma BESS A,10.0,20.0
WALCRK_2_CTG3,Walnut Creek Energy Park Unit 3,Walnut Creek Energy Park,100.1,500.5
CMBLND_2_DS2BT2,Daggett 2 b BESS,Daggett Solar 1 BESS,33.0,113.5
DRUM_7_UNIT 5,DRUM PH 2 UNIT 5,Drum #2,50.0,49.5
ADMEST_6_SOLAR,Adams East,Adams East  LLC,19.0,19.0
CONTRL_1_POOLE,POOLE HYDRO PLANT 1,Poole,11.07,10.0
DIABLO_7_UNIT 1,Diablo Canyon Unit 1,Diablo Canyon,1150.0,2323.0
WESCN2_2_BDSBT2,Bateria Del Sur 2B,Bateria Del Sur,100.0,350.0
GLDTWN_6_COLUM3,Columbia 3,RE Columbia 3,10.0,10.0
BELLEF_2_BSFSX3,Bellefield Solar Farm,Bellefield Solar Farm BESS,500.0,500.0
BEARDS_7_UNIT 1,Beardsley Hydro,Beardsley,11.5,11.7
GYSRVL_7_WSPRNG,Warm Springs Hydro,Warm Springs,3.75,2.79
WFRESN_1_SOLAR,Joya Del Sol,La Joya Del Sol,1.5,1.5
DAIRLD_1_MD1SL1,Madera 1,Madera 1 (CAISO),1.5,1.5
BLKCRK_2_SOLAR1,McCoy Station,McCoy Solar LLC,250.0,250.0
MARTIN_1_SUNSET,Sunset Reservoir - North Basin,Sunset Reservoir North Basin Solar,4.5,4.5
ALTA4B_2_CPCW2,Alta Wind 2,Alta I Wind Energy Center,150.0,150.0
ALTA6E_2_WIND10,Alta Wind 10,Alta X Wind Energy Center,134.84,136.8
ARCOGN_2_UNITS,WATSON COGENERATION,Watson Cogeneration Co,305.0,398.0
BRDSLD_2_SHILO2,SHILOH WIND PROJECT 2,"Shiloh III Wind Project, LLC",150.0,102.5
CAMCHE_1_PL1X3,"CAMANCHE UNITS  1, 2 &  3 AGGREGATE",Camanche,9.99,10.8
GRIZLY_1_UNIT 1,GRIZZLY HYDRO,Grizzly,20.0,21.0
HENRTA_6_UNITA1,GWF HENRIETTA PEAKER PLANT UNIT 1,Henrietta Peaker,49.98,98.0
HIDSRT_2_UNITS,HIGH DESERT POWER PROJECT AGGREGATE,High Desert Power Project,850.0,854.9
ORMOND_7_UNIT 2,ORMOND BEACH GEN STA. UNIT 2,Ormond Beach Generating Station,750.0,1612.8
SENTNL_2_CTG2,Sentinel Unit 2,Sentinel Energy Center,104.19,800.0
SENTNL_2_CTG5,Sentinel Unit 5,Sentinel Energy Center,107.52,800.0
SYCAMR_2_UNIT 1,Sycamore Cogeneration Unit 1,Sycamore Cogeneration Co,74.0,300.0
TAHOE_2_THOBT2,Tahoe 2,Tahoe,109.06,279.0
TRNQLT_2_SOLAR,Tranquillity,Tranquillity LLC,200.0,200.0
TUMBWD_2_WISBT3,Willow Springs Solar 3,Willow Springs Solar,50.0,108.0
DSFLWR_2_W9CSB2,Willy 9 Chap 2,Willy 9 Chap,72.0,88.0
MIDWD_2_WIND2,Coram Energy,Coram Energy LLC,3.0,15.0
ARKANS_1_ARKSLR,SG Arkansas,Arkansas Solar Facility,50.0,50.0
VISTRA_5_PLABT3,Plano Storage 3,Plano Storage,74.6,350.0
TULARE_2_TFCBM1,LB Trigen Fuel Cell 1,LB Trigen Fuel Cell 1 (CAISO),2.8,2.8
ANAHM_2_CANYN2,CANYON POWER PLANT UNIT 2,Canyon Power Plant,48.04,200.48
SCARLT_2_SSABT1,Scarlet Solar CA 1A,Scarlet Solar CA,10.0,40.0
VICPAS_2_VPSSR1,Victory Pass Solar,Victory Pass,200.0,200.0
RTEDDY_2_RWSBT1,Rosamond West Solar Central BESS A1,Rosamond West Solar Central BESS,30.0,147.0
COLVIL_7_PL1X2,COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE,Collierville,246.86,253.0
OBERON_5_O1SSR3,Oberon 1B Solar,Oberon 1 BESS,100.0,125.0
VOYAGR_2_VOYWD3,Voyager Wind 3,"Voyager Wind III, LLC",42.45,43.2
CHESTN_2_CHWSX2,Chestnut Westside PV,Chestnut Westside BESS,150.0,135.0
HALSEY_6_UNIT,HALSEY HYDRO,Halsey,13.5,11.0
OXBOW_6_DRUM,OXBOW HYDRO,Oxbow,5.8,6.0
BLAST_1_WIND,Mountain View IV Wind,Mountain View IV,49.0,49.0
SUNCAT_2_A2BSR2,Arlington Solar Unit 2B,Arlington Solar Unit 2 BESS,133.0,132.0
BASICE_2_UNITS,King City Cogen,King City Cogen Plant,120.0,130.0
SPAULD_6_UNIT 3,SPAULDING HYDRO PH 3 UNIT,Spaulding #3,6.5,6.61
ARLNTN_2_AR1SR1,Arlington,Arlington Solar Unit 1 BESS,100.0,110.0
GASKW1_2_GW5SR1,Gaskell West 5,Gaskell West 1,20.0,20.0
TMPLTN_2_SOLAR,Vintner Solar,Vintner Solar Project,1.5,1.5
SPRGVL_2_SUCCES,Success Power Plant,Success Power Project,1.4,1.4
GASKW1_2_GW2SR1,Gaskell West 2a,Gaskell West 1,16.0,20.0
MNDOTA_1_SOLAR1,North Star Solar 1,North Star Solar,60.0,61.6
SISPRG_2_DS3SR2,Daggett Solar 3 b PV,Daggett Solar 1 BESS,110.0,113.5
GRNLF2_1_UNIT,GREENLEAF II COGEN,Greenleaf 2  Inc.,49.2,50.0
BLCKBT_2_STONEY,BLACK BUTTE HYDRO,Black Butte,6.2,6.4
PEABDY_2_LNDFIL,G2 Energy Hay Road Power Plant,Hay Road,1.6,1.6
HOLGAT_1_BORAX,"U.S. Borax, Unit 1",U S Borax Inc,48.2,42.0
STRAUS_1_STRWD1,"Strauss Wind, LLC",Strauss Wind Project,95.25,95.25
COPMTN_2_CM10,Copper Mountain 10,Copper Mountain I (NV),10.0,58.0
SCARLT_2_SSASR1,Scarlet Solar CA 1A PV,Scarlet Solar 2 BESS,100.0,150.0
SMPRIP_1_SMPSON,Ripon Cogeneration Unit 1,Ripon Cogeneration Facility,46.05,49.9
LTBEAR_1_LB4SR4,Little Bear 4,Little Bear Solar 4,50.0,50.0
DSRTHV_2_DH2SR2,Desert Harvest 2,Desert Harvest II LLC,70.0,70.0
RETAKE_2_SS2SR5,Sanborn Solar 2 S5,Sanborn Solar 2,46.0,100.0
RETAKE_2_SS2SR6,Sanborn Solar 2 S6,Sanborn Solar 2,102.0,100.0
7STDRD_1_SOLAR1,Shafter Solar,Shafter Solar LLC,20.0,20.0
AKINGS_6_AMESR1,American Kings Solar,American Kings,123.0,123.0
COVERD_2_QFUNTS,Cove Hydroelectric Project,Cove Hydroelectric,5.5,5.0
CRIMSN_2_CRMBT2,Crimson 2,Crimson,150.0,350.0
DAIRLD_1_CR1BM1,Clapper Rail Plant 1,Clapper Rail Plant 1 (CAISO),2.0,2.0
DSFLWR_2_WS2SR1,Willow Springs 2,Willow Springs Solar,100.0,108.0
DUANE_1_PL1X3,DONALD VON RAESFELD POWER PROJECT,Donald Von Raesfeld Power Plant (DVR),147.8,147.0
HNTGBH_7_UNIT 2,HUNTINGTON BEACH GEN STA. UNIT 2,Huntington Beach (AES),226.84,215.0
LAPLMA_2_UNIT 3,La Paloma Generating Plant Unit #3,La Paloma Generating,266.0,1200.0
LAPLMA_2_UNIT 4,"LA PALOMA GENERATING PLANT, UNIT #4",La Paloma Generating,267.0,1200.0
LITLRK_6_SOLAR1,Lancaster Little Rock C,Lancaster Little Rock C Solar PV,5.0,5.0
NAROW1_2_UNIT,NARROWS PH 1 UNIT,Narrows 1,12.0,12.0
OAK C_7_UNIT 1,OAKLAND STATION C GT UNIT 1,Oakland Power Plant,55.0,223.5
OAKWD_6_QF,Oak Creek,Oak Creek Wind Power,27.87,31.5
PADUA_7_SDIMAS,San Dimas Wash Hydro,San Dimas Wash,1.05,1.05
PNCHEG_2_PL1X4,PANOCHE ENERGY CENTER (Aggregated),Panoche Energy Center,417.0,400.0
POEPH_7_UNIT 1,POE HYDRO UNIT 1,Poe,68.0,120.0
RECTOR_2_QF,Kaweah Unit 1,Kaweah 3,20.09,4.8
RTEDDY_2_RWSBT4,Rosamond West Solar Central BESS B,Rosamond West Solar Central BESS,30.0,147.0
SBERDO_6_MILLCK,MILL CREEK PSP,Mill Creek 3,3.93,3.0
SPAULD_6_UNIT12,SPAULDING HYDRO PH 1 & 2 AGGREGATE,Spaulding #1,11.4,7.04
TULARE_2_TULBM1,Tulare BioMAT Fuel Cell,Tulare BioMAT Fuel Cell (CAISO),2.8,2.8
USWPJR_2_UNITS,Vasco Wind,Vasco Wind Energy Center,78.2,78.2
VOLTA_2_UNIT 1,VOLTA HYDRO UNIT 1,Volta #1,9.1,8.55
POLRIS_2_ASESR1,Antelope Solar 2 Estrella,Antelope Solar 2 Estrella BESS,56.0,28.0
WESCN2_2_BDSBT1,Bateria Del Sur 2A,Bateria Del Sur,119.0,350.0
VISTRA_5_PLABT1,Plano Storage 1,Plano Storage,100.4,350.0
EXCHEC_7_UNIT 1,EXCHEQUER HYDRO,Exchequer,94.5,94.5
HENRTA_6_ELCTG2,ELECTROLYTE UNIT 2,Electrolyte,50.0,109.58
ALAMO_6_UNIT,ALAMO POWER PLANT,Alamo,17.0,19.67
ESCNDO_6_UNITB1,CalPeak Power Enterprise Unit 1,Enterprise - CalPeak Power,50.96,48.92
SLYCRK_1_UNIT 1,SLY CREEK HYDRO,Sly Creek,13.0,13.2
CROKET_7_UNIT,CROCKETT COGEN,Crockett Cogeneration Project,240.0,247.4
PROXSR_2_PS2BT3,Proxima Solar BESS 2,Proxima Solar BESS,90.0,162.0
JOANEC_2_ST3BT3,Santa Ana Storage 3,Santa Ana 1,40.0,3.2
CARBOU_7_UNIT 1,CARIBOU PH 1 UNIT 1,Caribou #1,24.0,73.8
RTEDDY_2_RWSBT3,Rosamond West Solar Central BESS A3,Rosamond West Solar Central BESS,45.0,147.0
VOYAGR_2_VOYWD1,Voyager 1,"Voyager Wind II, LLC",128.91,128.7
COLPIN_6_COLLNS,Collins Pine,Collins Pine Co Project,3.3,0.0
VLCNTR_6_VCSLR2,Valley Center 2,Valley Center 1 & 2,5.0,7.5
PNOCHE_1_UNITA1,CalPeak Power Panoche Unit 1,Panoche - CalPeak Power,52.3,49.62
PBLOSM_2_SOLAR,PearBlossom,Pearblossom Solar,9.5,9.5
GARLND_2_GASLR,Garland B,Garland Solar Facility,180.0,200.0
CPVERD_2_SOLAR,Campo Verde Solar,Campo Verde Solar Project,139.0,197.0
ATHOS_5_AP2X2,Athos Power Plant 2,Athos II,200.0,200.0
DSRTHV_2_DH1SR1,Desert Harvest,Desert Harvest LLC,80.0,80.0
GLDFGR_6_SOLAR1,Portal Ridge B,"Portal Ridge B, LLC",20.0,20.0
GLDFGR_6_SOLAR2,Portal Ridge C,"Portal Ridge C, LLC",11.4,11.4
WISE_1_UNIT 2,WISE HYDRO UNIT 2,Wise,3.2,17.1
LUNAVL_2_LVSSR3,Luna Valley Solar 3,"Luna Valley Solar I, LLC",84.5,200.0
JAVASR_1_JAVSR1,Java Solar,DG Java Solar,13.5,13.5
PMPJCK_1_SOLAR1,Pumpjack Solar I,Pumpjack Solar 1 PV,20.0,20.0
LGHTHP_2_DOCSR1,Dominguez Carson,Dominguez Carson (CAISO),0.96,1.0
VOYAGR_2_VOYWD2,Voyager Wind 2,"Voyager Wind II, LLC",126.35,128.7
CAVLSR_2_BSOLAR,California Valley Solar Ranch-Phase B,California Valley Solar Ranch,40.0,250.0
SHAFTR_1_HWYSR1,Highway 43,Highway 43 Solar (CAISO),2.25,2.25
GARNET_2_COAWD2,Coachella 2,Coachella,10.8,92.4
GWFPWR_1_LDCTG2,LEAD UNIT 2,Lead BESS 2,55.3,32.0
BUCKBL_2_PL1X3,Blythe Energy Center,Blythe Energy Project,493.63,537.0
WHITNY_6_SOLAR,Whitney Point Solar,Whitney Point Solar LLC,20.0,20.0
RSMSLR_6_SOLAR1,Rosamond One,RE Rosamond One,20.0,20.0
